,bucket_en_entier,bucket,ID,Sex,Good sex prediction,age,Age predicted
1845,6,"(40, 45]",1846.0,0.0,1.0,44.0,1.0
9427,5,"(35, 40]",9428.0,0.0,0.0,39.0,3.0
33409,6,"(40, 45]",33410.0,1.0,1.0,43.0,3.0
1905,7,"(45, 65]",1906.0,0.0,0.0,48.0,3.0
32523,5,"(35, 40]",32524.0,0.0,0.0,36.0,1.0
1007,7,"(45, 65]",1008.0,1.0,0.0,51.0,1.0
10107,3,"(25, 30]",10108.0,1.0,1.0,30.0,2.0
12785,5,"(35, 40]",12786.0,0.0,1.0,40.0,1.0
33510,3,"(25, 30]",33511.0,1.0,1.0,30.0,3.0
16175,4,"(30, 35]",16176.0,0.0,1.0,34.0,1.0
37252,2,"(20, 25]",37253.0,0.0,1.0,23.0,3.0
16419,3,"(25, 30]",16420.0,1.0,0.0,26.0,2.0
28767,5,"(35, 40]",28768.0,0.0,1.0,36.0,1.0
29706,2,"(20, 25]",29707.0,1.0,1.0,24.0,3.0
8264,6,"(40, 45]",8265.0,0.0,0.0,41.0,1.0
26420,6,"(40, 45]",26421.0,1.0,1.0,45.0,3.0
35154,1,"(18, 20]",35155.0,0.0,0.0,19.0,2.0
13819,7,"(45, 65]",13820.0,1.0,1.0,59.0,2.0
7087,7,"(45, 65]",7088.0,0.0,0.0,59.0,3.0
25083,6,"(40, 45]",25084.0,1.0,1.0,42.0,1.0
12729,7,"(45, 65]",12730.0,0.0,1.0,55.0,3.0
28188,7,"(45, 65]",28189.0,1.0,0.0,63.0,1.0
32340,7,"(45, 65]",32341.0,1.0,1.0,51.0,3.0
24309,3,"(25, 30]",24310.0,0.0,1.0,29.0,3.0
31026,3,"(25, 30]",31027.0,0.0,1.0,27.0,2.0
25596,6,"(40, 45]",25597.0,1.0,1.0,45.0,3.0
18205,9,"(70, 150]",18206.0,1.0,1.0,89.0,1.0
23678,2,"(20, 25]",23679.0,1.0,1.0,24.0,1.0
18908,7,"(45, 65]",18909.0,1.0,1.0,47.0,3.0
31841,6,"(40, 45]",31842.0,0.0,1.0,43.0,1.0
16425,7,"(45, 65]",16426.0,1.0,1.0,58.0,1.0
17344,1,"(18, 20]",17345.0,0.0,1.0,20.0,1.0
17362,7,"(45, 65]",17363.0,1.0,1.0,57.0,1.0
36216,5,"(35, 40]",36217.0,0.0,0.0,36.0,1.0
11716,4,"(30, 35]",11717.0,0.0,0.0,33.0,3.0
6284,4,"(30, 35]",6285.0,0.0,1.0,33.0,1.0
5647,7,"(45, 65]",5648.0,1.0,0.0,60.0,3.0
